x,y,z,yaw,pitch,roll,q1_in,q2_in,q3_in,q4_in,q5_in,q6_in,q1_out,q2_out,q3_out,q4_out,q5_out,q6_out
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2407,-0.7975,0.6551,-3.2989,1.1212,5.7052,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2233,-0.8511,0.5966,-3.232,1.1662,5.6429,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2567,-0.9468,0.582,-3.3165,1.122,5.5944,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.1557,-0.8205,0.5532,-3.1993,1.2697,5.7474,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.3267,-0.9279,0.6722,-3.2867,1.2266,5.6304,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2136,-0.9565,0.6271,-3.1954,1.1125,5.6827,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.23,-0.9746,0.5258,-3.3786,1.2268,5.6399,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2372,-0.8157,0.5851,-3.3808,1.1388,5.6944,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2006,-0.9805,0.6648,-3.3272,1.1516,5.7234,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.3286,-0.9699,0.6222,-3.2476,1.1629,5.7385,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2845,-0.8432,0.5434,-3.3236,1.2361,5.759,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2647,-0.8544,0.5895,-3.2064,1.1321,5.6401,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2616,-0.8762,0.6587,-3.185,1.3091,5.7705,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
-80.9148,-121.7499,1896.4867,-0.6941,0.9229,-1.4411,-2.2893,-0.8142,0.5651,-3.2903,1.1625,5.7501,-2.2347,-0.8949,0.6113,-3.2841,1.2117,5.6792
